Meal_Plan_ID,Sales_Volume,Revenue,Profit_Margin,Advertising_Spend
1,432,2689.3542544067996,0.22938847362219755,476.7652029336838
2,64,4750.507280562516,0.1713174454939813,128.96868320495543
3,167,3996.262914882328,0.05487616998967453,131.28951381540327
4,338,4573.908358585012,0.09288206653154576,188.758876739188
5,263,1292.4609782860125,0.17158446876250355,211.63711630860809
6,210,3403.1838629502117,0.11277827321867401,722.1735524135462
7,231,625.4944245296849,0.11141065034743808,130.8655086454604
8,222,3188.667551781452,0.05892441600716798,782.5412381987799
9,386,2216.6097614743194,0.05604488055994253,637.3632093100955
10,52,3330.363604732057,0.078463321102329,482.3917519004696
11,315,3420.3611722010164,0.18248486877074632,953.5698184135401
12,199,1110.2286808299912,0.21240443900132117,751.3406295026324
13,262,4269.33471964765,0.2482198831243248,331.1675715847259
14,369,705.8707160612361,0.0967660868047547,442.4900359902502
15,187,1344.1003517433228,0.21382278092805995,343.78098524368374
16,419,2303.4083840545863,0.11073109985671792,931.112924903445
17,74,2911.3841840357204,0.08592011041985312,253.42965901325053
18,346,1460.5767198335375,0.1781522250375268,703.5158518249094
19,307,640.7395103558081,0.1291552044554344,106.10643287306073
20,433,1185.0481422609455,0.1904254149537261,259.4849458967337
21,87,2911.4759137870883,0.20865891931927222,319.60144308286726
22,231,3939.8175123786627,0.19787567046215943,760.8214785721475
23,104,2892.751010869596,0.05935083726024553,705.5816093845137
24,240,585.6947406638808,0.19298019088508583,104.79084969425116
25,77,2876.1332500453614,0.20632292405895447,747.3540328228888
26,276,2109.350745411325,0.05101615532093058,802.4327084930163
27,77,2756.8632006284843,0.15917921134470736,840.273894811751
28,209,3296.3314512886964,0.24662640053840124,774.5159968829214
29,287,4263.081476902225,0.07021163524899439,112.87026618397084
30,119,2622.493125213702,0.1849135443470395,402.98859711378833
31,210,3817.085070799964,0.09308169491003107,902.1630311934168
32,102,2498.4633092554686,0.15937135924986473,434.660440821552
33,492,4143.328647920024,0.09807763269245995,999.218598422263
34,177,1955.5922485242288,0.15698738889972041,960.3119733211414
35,427,1681.2799370718199,0.11348692368577361,263.44864057913753
36,387,1025.1773201218798,0.1168623117498864,292.7218367380843
37,256,3932.6595449650345,0.2385794428494732,658.7265281977258
38,355,3885.7999787333333,0.10084957158718977,540.8083811301949
39,64,3630.203149102285,0.11454568742370314,944.5801883570457
40,240,533.3879384673993,0.17026222629423615,669.0089028434502
41,277,4892.648888932677,0.19103447876605784,430.66042872440903
42,77,3126.4525397817397,0.19360155108649524,914.8461276840454
43,213,2913.3067904068803,0.2222580543609572,676.8420045704081
44,495,4925.573077923078,0.18102913368221635,973.7384254595817
45,286,2603.2386936227085,0.18873503040150258,278.24738445229997
46,308,636.8227254314061,0.22267133335748818,319.0151269065787
47,74,3173.7236787072106,0.06998101397462811,586.4401480048552
48,245,3473.138531058376,0.10458449338442477,139.7273915154815
49,273,2619.8425195019427,0.17829106732284,960.9216291073715
50,179,764.3405333298604,0.15042550140217803,991.615566719625
51,434,3364.048652157446,0.08658717278162549,307.19222316948844
52,289,1847.8530538943385,0.10834476735742543,918.8500956865538
53,456,1098.4855239877393,0.15222962571972176,530.5380294206157
54,166,3695.4585820928173,0.22389452450644215,531.4106224880343
55,230,2853.1420235868354,0.08969700137979889,823.0492917051322
56,160,1634.9229662011282,0.240384677982248,882.5446467789598
57,275,3167.6432985351,0.10693693434758025,113.7754044131281
58,122,2946.086850720799,0.14740221626179922,238.3099364435769
59,342,614.2394688434367,0.12145599283797966,472.8305630902288
60,348,3913.1871500032685,0.24568957179889755,989.0716024012762
61,397,3608.1217016013575,0.21260187799185237,435.086377870556
62,414,4917.27255690547,0.11219839174620548,313.16896920402087
63,441,2525.584128982198,0.0528981115863316,686.4205314135303
64,351,1140.464866530746,0.19551171013943464,343.6838895303116
65,214,1558.6889211981859,0.24798158965554723,919.9788792171561
66,236,4661.853709199737,0.11306160713623281,320.05556232722137
67,438,3568.5718505921714,0.12082176873868822,997.9653344290633
68,291,2678.4248531118474,0.13277519898120718,911.4012605907595
69,197,1007.555505503389,0.05807438419553142,820.8183309709747
70,254,4543.170609564455,0.1507514850522632,291.58764522024256
71,70,4176.383895288538,0.11175711846669496,835.9362359025911
72,85,1023.4929213169836,0.13009388792310034,698.4208048496442
73,408,4581.136841449279,0.21621071688899485,880.7202977866436
74,275,2857.7505562557403,0.169796330116738,875.13529882195
75,414,1919.7740544757003,0.14484712874475508,339.21610371194095
76,373,600.2159560906252,0.08577115470873195,191.41516950094882
77,455,3587.2281787307884,0.05468528550711547,688.4847122388834
78,136,666.5803538504586,0.22484549147301763,547.1766809260241
79,90,4232.972230987134,0.24468966899990946,275.5502860273149
80,490,2707.4274610056054,0.22957214614524146,176.865680002832
81,486,1625.5279778563884,0.18619009223410848,632.8444228108355
82,268,1393.085913000708,0.15495328929260346,739.9745990145267
83,233,3336.7287045072567,0.07853640657088956,314.4137265805466
84,443,2781.8272476917828,0.05679736076758275,627.4575291507335
85,437,641.7681687534151,0.19982943055378655,984.7362990308402
86,294,3412.667320442992,0.2300621296385778,934.0466912708586
87,459,818.070948413078,0.22198105809075558,964.6853226516686
88,264,1655.3333319472754,0.0945057828151317,759.24912564168
89,262,2663.2240171560625,0.22675613209524964,168.61425006152666
90,439,3842.0378653749417,0.10027100477492308,585.5111288493213
91,429,507.11860922682257,0.24034959502979275,256.9171311237801
92,146,4888.467256969635,0.05012758561772832,932.4823044285516
93,236,2193.432685918382,0.09564326550984566,524.2573713625245
94,370,3368.2300594712647,0.14803553565470157,526.4505114102266
95,462,2976.7910084954583,0.05112367355924872,326.56460635707833
96,100,2253.9396546979656,0.07330076142333784,485.48768896515685
97,439,829.9042341804213,0.22837896245533568,243.91300033475417
98,242,3556.559805937224,0.05783780603486344,965.8362241262071
99,360,3550.7525546342,0.22649851544653005,334.1771098675671
100,142,1986.6741781706771,0.2304528694577816,662.0144500487555
