Meal Plan,Average daily protein,Average daily calories,Average daily fat,Average daily sodium,Average daily carbohydrates,Total price
1,57.29,2000.00,104.29,1310.00,218.00,81.54
2,91.47,1997.86,98.56,2062.31,209.13,104.34
3,100.41,2005.00,91.11,1729.60,219.64,98.98
4,92.86,2007.86,96.14,2642.86,203.71,125.57
5,108.79,1987.86,81.29,2857.86,225.57,116.75
6,107.92,2012.86,68.00,2230.00,274.77,101.62
7,76.64,2012.86,137.21,1818.57,139.27,93.26
8,59.88,2017.36,95.27,1559.34,257.43,74.71
9,81.14,2018.57,98.86,2633.57,218.86,138.14
10,57.26,1981.43,104.77,1922.31,237.00,89.97
11,83.53,1977.07,127.21,1074.63,129.36,96.14
12,120.28,2023.57,87.07,1683.93,204.52,115.72
13,116.36,1975.71,78.29,2212.50,212.48,116.17
14,109.43,1975.71,102.36,2445.00,187.29,130.04
15,106.19,2025.00,109.06,1342.31,162.29,125.91
16,141.96,1974.21,75.39,2550.74,188.43,135.82
17,168.89,2026.07,66.64,2329.91,200.93,166.11
18,84.43,1970.71,76.14,2141.43,276.70,75.74
19,112.41,1968.57,92.53,1891.03,179.00,123.77
20,114.57,1967.14,85.57,2462.86,193.29,129.25
21,134.46,1966.71,56.85,2472.13,257.21,137.75
22,70.33,1966.43,98.11,1950.31,212.36,88.55
23,66.00,1964.29,108.00,1340.71,213.21,92.44
24,75.36,2036.79,106.50,2704.29,213.57,124.01
25,73.79,2037.50,95.36,1600.00,243.64,94.41
26,72.61,1956.43,114.85,1930.63,173.93,90.62
27,79.71,1954.29,104.29,2677.86,188.48,98.87
28,97.57,1953.93,100.57,2479.29,167.49,92.28
29,110.27,2046.43,95.00,2020.00,204.49,105.17
30,86.63,2046.79,133.29,1223.57,135.34,91.18
31,102.97,1952.86,78.07,1767.06,229.50,118.80
32,75.36,2047.14,114.57,2135.71,187.27,104.14
33,76.83,2047.43,89.81,1667.53,251.63,94.97
34,95.71,2048.21,149.21,1018.21,99.61,89.11
35,134.14,2051.07,112.57,2280.00,126.99,121.26
36,70.64,2052.00,94.04,2295.23,264.21,108.42
37,63.47,2055.36,79.75,1718.89,309.36,104.38
38,96.19,1944.29,86.48,1438.03,200.41,101.78
39,106.69,1943.57,89.27,2094.81,193.56,105.67
40,199.12,2056.71,82.31,2850.74,132.79,185.45
41,117.07,2058.93,71.50,1825.00,261.00,109.48
42,157.64,1940.71,62.29,2770.71,215.21,146.53
43,93.47,1940.00,104.56,1469.46,190.57,110.95
44,80.14,1937.14,125.07,1757.14,128.93,103.03
45,127.64,1935.36,92.00,1812.14,169.97,118.48
46,89.79,1933.57,103.50,2679.29,185.19,117.44
47,103.77,2067.50,99.68,1651.03,191.57,125.41
48,90.21,1930.36,109.36,1915.00,166.50,122.39
49,63.75,1928.21,84.28,3260.63,251.13,98.38
50,67.05,1926.71,53.96,1617.89,327.93,89.24
51,61.36,1926.43,140.36,2528.57,114.64,130.94
52,88.71,1925.00,113.36,1785.71,144.13,99.07
53,95.14,1922.14,76.21,1950.36,235.29,116.74
54,112.51,2084.86,98.73,2536.80,195.21,133.17
55,74.06,1914.29,91.71,1710.71,204.93,96.37
56,89.14,2088.57,117.43,1530.71,190.77,89.24
57,74.44,1910.71,86.83,1753.20,221.21,108.35
58,190.71,1910.00,59.57,2977.86,162.13,175.34
59,92.29,1909.64,114.93,1827.50,137.71,101.18
60,98.91,1908.57,98.25,1687.46,179.20,93.23
61,81.07,1907.14,83.50,1171.43,216.86,95.53
62,58.64,1902.86,144.14,2398.21,117.71,108.55
63,76.05,1900.29,68.53,2111.46,267.36,85.35
64,103.88,1900.00,87.80,1223.34,187.84,98.77
65,71.55,2102.43,137.53,1693.60,160.33,101.02
66,91.13,1897.14,91.03,1898.89,201.86,92.10
67,79.83,1892.79,82.53,2508.60,208.07,129.71
68,72.50,2107.86,131.07,2787.14,161.14,94.15
69,69.05,1891.07,114.11,1098.17,159.83,101.46
70,149.78,2115.36,102.29,2790.71,157.29,154.41
71,80.28,1881.43,96.29,1532.86,171.86,97.87
72,122.26,1878.57,93.13,1902.31,159.77,128.75
73,112.11,1877.86,79.21,770.63,184.79,111.97
74,81.29,1877.86,84.64,1121.07,214.77,98.35
75,66.86,1876.07,82.43,2333.57,220.63,101.29
76,52.21,1875.71,102.71,2082.86,196.71,90.67
77,73.69,1873.14,103.03,1106.10,179.71,92.25
78,81.50,1872.50,57.64,2527.14,267.91,78.99
79,144.66,1868.57,73.18,2301.06,176.99,133.34
80,102.21,2132.86,116.07,1827.50,178.29,124.78
81,59.12,1866.71,98.74,1853.60,212.64,85.22
82,64.71,1864.29,115.21,2382.86,149.70,109.44
83,139.28,2137.14,96.50,2182.86,193.53,125.87
84,45.77,1862.14,110.03,1627.81,180.14,98.27
85,84.67,1861.71,63.21,2148.91,266.00,96.74
86,58.67,1861.71,36.81,1851.46,359.98,95.34
87,114.05,2140.00,143.25,2305.67,117.71,123.94
88,131.36,1858.57,87.64,2699.64,144.57,141.74
89,94.21,1857.50,83.00,2442.14,200.79,112.18
90,91.14,1855.00,50.36,2072.86,303.86,113.84
91,84.99,2145.71,101.14,2344.29,241.57,88.77
92,67.71,1852.86,81.71,1977.14,234.71,102.54
93,54.42,1852.86,67.71,3151.43,283.43,105.24
94,72.04,1851.79,132.98,1398.74,94.98,95.68
95,86.85,1849.29,91.57,1540.71,172.55,94.14
96,129.19,1847.86,80.70,2235.89,166.53,99.94
97,75.88,1847.86,73.09,2286.91,243.13,100.67
